[series][INFO] [2020-09-14 16:26:05] cn.edu.cug.cs.gtl.series.app.cmd.MainApp | e:\git\data\UCRArchive_2018
[series][INFO] [2020-09-14 16:26:06] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 5 3 0.1
[series][INFO] [2020-09-14 16:26:07] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 5 4 0.1
[series][INFO] [2020-09-14 16:26:07] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 5 5 0.1
[series][INFO] [2020-09-14 16:26:08] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 5 6 0.1
[series][INFO] [2020-09-14 16:26:08] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 5 7 0.1
[series][INFO] [2020-09-14 16:26:09] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 5 8 0.1
[series][INFO] [2020-09-14 16:26:09] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 5 9 0.11
[series][INFO] [2020-09-14 16:26:10] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 5 10 0.07
[series][INFO] [2020-09-14 16:26:10] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 5 11 0.1
[series][INFO] [2020-09-14 16:26:11] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 5 12 0.11
[series][INFO] [2020-09-14 16:26:11] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 5 13 0.11
[series][INFO] [2020-09-14 16:26:11] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 5 14 0.12
[series][INFO] [2020-09-14 16:26:12] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 5 15 0.13
[series][INFO] [2020-09-14 16:26:12] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 5 16 0.13
[series][INFO] [2020-09-14 16:26:12] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 6 3 0.1
[series][INFO] [2020-09-14 16:26:13] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 6 4 0.1
[series][INFO] [2020-09-14 16:26:13] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 6 5 0.1
[series][INFO] [2020-09-14 16:26:14] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 6 6 0.1
[series][INFO] [2020-09-14 16:26:14] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 6 7 0.1
[series][INFO] [2020-09-14 16:26:15] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 6 8 0.15
[series][INFO] [2020-09-14 16:26:15] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 6 9 0.11
[series][INFO] [2020-09-14 16:26:15] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 6 10 0.11
[series][INFO] [2020-09-14 16:26:16] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 6 11 0.11
[series][INFO] [2020-09-14 16:26:16] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 6 12 0.14
[series][INFO] [2020-09-14 16:26:16] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 6 13 0.13
[series][INFO] [2020-09-14 16:26:17] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 6 14 0.12
[series][INFO] [2020-09-14 16:26:17] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 6 15 0.14
[series][INFO] [2020-09-14 16:26:17] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAX 6 16 0.17
