INFO DATE TIME CLASS LINE DATASET ALGORITHM REPRESENTATION WORDSIZE ALPHA SCORE
[series][INFO] [2020-10-12 16:36:23] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 5 3 0.55
[series][INFO] [2020-10-12 16:36:23] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 5 4 0.55
[series][INFO] [2020-10-12 16:36:23] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 5 5 0.55
[series][INFO] [2020-10-12 16:36:23] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 5 6 0.55
[series][INFO] [2020-10-12 16:36:23] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 5 7 0.55
[series][INFO] [2020-10-12 16:36:23] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 5 8 0.55
[series][INFO] [2020-10-12 16:36:24] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 5 9 0.55
[series][INFO] [2020-10-12 16:36:24] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 5 10 0.55
[series][INFO] [2020-10-12 16:36:24] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 5 11 0.53
[series][INFO] [2020-10-12 16:36:24] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 5 12 0.49
[series][INFO] [2020-10-12 16:36:24] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 5 13 0.52
[series][INFO] [2020-10-12 16:36:24] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 5 14 0.47
[series][INFO] [2020-10-12 16:36:24] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 5 15 0.55
[series][INFO] [2020-10-12 16:36:24] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 5 16 0.54
[series][INFO] [2020-10-12 16:36:24] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 6 3 0.76
[series][INFO] [2020-10-12 16:36:25] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 6 4 0.76
[series][INFO] [2020-10-12 16:36:25] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 6 5 0.76
[series][INFO] [2020-10-12 16:36:25] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 6 6 0.76
[series][INFO] [2020-10-12 16:36:25] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 6 7 0.76
[series][INFO] [2020-10-12 16:36:25] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 6 8 0.66
[series][INFO] [2020-10-12 16:36:25] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 6 9 0.74
[series][INFO] [2020-10-12 16:36:25] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 6 10 0.62
[series][INFO] [2020-10-12 16:36:25] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 6 11 0.74
[series][INFO] [2020-10-12 16:36:25] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 6 12 0.72
[series][INFO] [2020-10-12 16:36:25] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 6 13 0.71
[series][INFO] [2020-10-12 16:36:26] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 6 14 0.63
[series][INFO] [2020-10-12 16:36:26] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 6 15 0.75
[series][INFO] [2020-10-12 16:36:26] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 6 16 0.7
[series][INFO] [2020-10-12 16:36:26] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 7 3 0.66
[series][INFO] [2020-10-12 16:36:26] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 7 4 0.66
[series][INFO] [2020-10-12 16:36:26] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 7 5 0.66
[series][INFO] [2020-10-12 16:36:26] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 7 6 0.65
[series][INFO] [2020-10-12 16:36:26] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 7 7 0.66
[series][INFO] [2020-10-12 16:36:26] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 7 8 0.66
[series][INFO] [2020-10-12 16:36:27] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 7 9 0.66
[series][INFO] [2020-10-12 16:36:27] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 7 10 0.64
[series][INFO] [2020-10-12 16:36:27] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 7 11 0.67
[series][INFO] [2020-10-12 16:36:27] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 7 12 0.63
[series][INFO] [2020-10-12 16:36:27] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 7 13 0.66
[series][INFO] [2020-10-12 16:36:27] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 7 14 0.65
[series][INFO] [2020-10-12 16:36:27] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 7 15 0.65
[series][INFO] [2020-10-12 16:36:27] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 7 16 0.6
[series][INFO] [2020-10-12 16:36:28] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 8 3 0.71
[series][INFO] [2020-10-12 16:36:28] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 8 4 0.71
[series][INFO] [2020-10-12 16:36:28] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 8 5 0.7
[series][INFO] [2020-10-12 16:36:28] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 8 6 0.71
[series][INFO] [2020-10-12 16:36:28] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 8 7 0.64
[series][INFO] [2020-10-12 16:36:28] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 8 8 0.69
[series][INFO] [2020-10-12 16:36:28] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 8 9 0.69
[series][INFO] [2020-10-12 16:36:28] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 8 10 0.62
[series][INFO] [2020-10-12 16:36:28] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 8 11 0.67
[series][INFO] [2020-10-12 16:36:29] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 8 12 0.59
[series][INFO] [2020-10-12 16:36:29] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 8 13 0.61
[series][INFO] [2020-10-12 16:36:29] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 8 14 0.56
[series][INFO] [2020-10-12 16:36:29] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 8 15 0.62
[series][INFO] [2020-10-12 16:36:29] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 8 16 0.57
[series][INFO] [2020-10-12 16:36:29] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 9 3 0.76
[series][INFO] [2020-10-12 16:36:29] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 9 4 0.76
[series][INFO] [2020-10-12 16:36:29] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 9 5 0.74
[series][INFO] [2020-10-12 16:36:29] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 9 6 0.75
[series][INFO] [2020-10-12 16:36:30] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 9 7 0.74
[series][INFO] [2020-10-12 16:36:30] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 9 8 0.74
[series][INFO] [2020-10-12 16:36:30] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 9 9 0.74
[series][INFO] [2020-10-12 16:36:30] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 9 10 0.6
[series][INFO] [2020-10-12 16:36:30] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 9 11 0.7
[series][INFO] [2020-10-12 16:36:30] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 9 12 0.68
[series][INFO] [2020-10-12 16:36:30] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 9 13 0.68
[series][INFO] [2020-10-12 16:36:30] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 9 14 0.61
[series][INFO] [2020-10-12 16:36:31] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 9 15 0.65
[series][INFO] [2020-10-12 16:36:31] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 9 16 0.68
[series][INFO] [2020-10-12 16:36:31] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 10 3 0.67
[series][INFO] [2020-10-12 16:36:31] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 10 4 0.66
[series][INFO] [2020-10-12 16:36:31] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 10 5 0.66
[series][INFO] [2020-10-12 16:36:31] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 10 6 0.65
[series][INFO] [2020-10-12 16:36:31] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 10 7 0.66
[series][INFO] [2020-10-12 16:36:31] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 10 8 0.59
[series][INFO] [2020-10-12 16:36:32] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 10 9 0.68
[series][INFO] [2020-10-12 16:36:32] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 10 10 0.63
[series][INFO] [2020-10-12 16:36:32] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 10 11 0.65
[series][INFO] [2020-10-12 16:36:32] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 10 12 0.62
[series][INFO] [2020-10-12 16:36:32] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 10 13 0.64
[series][INFO] [2020-10-12 16:36:32] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 10 14 0.58
[series][INFO] [2020-10-12 16:36:32] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 10 15 0.62
[series][INFO] [2020-10-12 16:36:33] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 10 16 0.59
[series][INFO] [2020-10-12 16:36:33] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 11 3 0.7
[series][INFO] [2020-10-12 16:36:33] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 11 4 0.69
[series][INFO] [2020-10-12 16:36:33] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 11 5 0.68
[series][INFO] [2020-10-12 16:36:33] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 11 6 0.66
[series][INFO] [2020-10-12 16:36:33] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 11 7 0.64
[series][INFO] [2020-10-12 16:36:33] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 11 8 0.63
[series][INFO] [2020-10-12 16:36:33] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 11 9 0.61
[series][INFO] [2020-10-12 16:36:34] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 11 10 0.62
[series][INFO] [2020-10-12 16:36:34] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 11 11 0.64
[series][INFO] [2020-10-12 16:36:34] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 11 12 0.49
[series][INFO] [2020-10-12 16:36:34] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 11 13 0.64
[series][INFO] [2020-10-12 16:36:34] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 11 14 0.56
[series][INFO] [2020-10-12 16:36:34] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 11 15 0.63
[series][INFO] [2020-10-12 16:36:34] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 11 16 0.62
[series][INFO] [2020-10-12 16:36:35] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 12 3 0.71
[series][INFO] [2020-10-12 16:36:35] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 12 4 0.72
[series][INFO] [2020-10-12 16:36:35] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 12 5 0.71
[series][INFO] [2020-10-12 16:36:35] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 12 6 0.66
[series][INFO] [2020-10-12 16:36:35] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 12 7 0.68
[series][INFO] [2020-10-12 16:36:35] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 12 8 0.66
[series][INFO] [2020-10-12 16:36:36] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 12 9 0.67
[series][INFO] [2020-10-12 16:36:36] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 12 10 0.62
[series][INFO] [2020-10-12 16:36:36] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 12 11 0.65
[series][INFO] [2020-10-12 16:36:36] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 12 12 0.6
[series][INFO] [2020-10-12 16:36:36] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 12 13 0.67
[series][INFO] [2020-10-12 16:36:36] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 12 14 0.61
[series][INFO] [2020-10-12 16:36:36] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 12 15 0.62
[series][INFO] [2020-10-12 16:36:37] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 12 16 0.6
[series][INFO] [2020-10-12 16:36:37] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 13 3 0.67
[series][INFO] [2020-10-12 16:36:37] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 13 4 0.66
[series][INFO] [2020-10-12 16:36:37] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 13 5 0.66
[series][INFO] [2020-10-12 16:36:37] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 13 6 0.64
[series][INFO] [2020-10-12 16:36:37] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 13 7 0.65
[series][INFO] [2020-10-12 16:36:37] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 13 8 0.6
[series][INFO] [2020-10-12 16:36:38] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 13 9 0.63
[series][INFO] [2020-10-12 16:36:38] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 13 10 0.57
[series][INFO] [2020-10-12 16:36:38] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 13 11 0.57
[series][INFO] [2020-10-12 16:36:38] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 13 12 0.58
[series][INFO] [2020-10-12 16:36:38] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 13 13 0.62
[series][INFO] [2020-10-12 16:36:38] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 13 14 0.55
[series][INFO] [2020-10-12 16:36:38] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 13 15 0.58
[series][INFO] [2020-10-12 16:36:39] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 13 16 0.58
[series][INFO] [2020-10-12 16:36:39] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 14 3 0.66
[series][INFO] [2020-10-12 16:36:39] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 14 4 0.66
[series][INFO] [2020-10-12 16:36:39] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 14 5 0.66
[series][INFO] [2020-10-12 16:36:39] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 14 6 0.63
[series][INFO] [2020-10-12 16:36:39] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 14 7 0.65
[series][INFO] [2020-10-12 16:36:39] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 14 8 0.63
[series][INFO] [2020-10-12 16:36:40] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 14 9 0.6
[series][INFO] [2020-10-12 16:36:40] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 14 10 0.62
[series][INFO] [2020-10-12 16:36:40] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 14 11 0.62
[series][INFO] [2020-10-12 16:36:40] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 14 12 0.59
[series][INFO] [2020-10-12 16:36:40] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 14 13 0.66
[series][INFO] [2020-10-12 16:36:40] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 14 14 0.62
[series][INFO] [2020-10-12 16:36:40] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 14 15 0.65
[series][INFO] [2020-10-12 16:36:40] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 14 16 0.61
[series][INFO] [2020-10-12 16:36:41] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 15 3 0.67
[series][INFO] [2020-10-12 16:36:41] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 15 4 0.68
[series][INFO] [2020-10-12 16:36:41] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 15 5 0.67
[series][INFO] [2020-10-12 16:36:41] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 15 6 0.65
[series][INFO] [2020-10-12 16:36:41] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 15 7 0.63
[series][INFO] [2020-10-12 16:36:41] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 15 8 0.59
[series][INFO] [2020-10-12 16:36:41] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 15 9 0.64
[series][INFO] [2020-10-12 16:36:42] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 15 10 0.54
[series][INFO] [2020-10-12 16:36:42] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 15 11 0.61
[series][INFO] [2020-10-12 16:36:42] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 15 12 0.52
[series][INFO] [2020-10-12 16:36:42] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 15 13 0.59
[series][INFO] [2020-10-12 16:36:42] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTD 15 14 0.54
