INFO DATE TIME CLASS LINE DATASET ALGORITHM REPRESENTATION WORDSIZE ALPHA SCORE
[series][INFO] [2020-10-12 16:36:31] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 5 3 0.48
[series][INFO] [2020-10-12 16:36:32] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 5 4 0.48
[series][INFO] [2020-10-12 16:36:32] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 5 5 0.47
[series][INFO] [2020-10-12 16:36:32] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 5 6 0.47
[series][INFO] [2020-10-12 16:36:32] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 5 7 0.47
[series][INFO] [2020-10-12 16:36:32] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 5 8 0.47
[series][INFO] [2020-10-12 16:36:32] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 5 9 0.46
[series][INFO] [2020-10-12 16:36:32] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 5 10 0.41
[series][INFO] [2020-10-12 16:36:32] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 5 11 0.46
[series][INFO] [2020-10-12 16:36:32] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 5 12 0.43
[series][INFO] [2020-10-12 16:36:32] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 5 13 0.46
[series][INFO] [2020-10-12 16:36:32] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 5 14 0.43
[series][INFO] [2020-10-12 16:36:32] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 5 15 0.5
[series][INFO] [2020-10-12 16:36:33] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 5 16 0.48
[series][INFO] [2020-10-12 16:36:33] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 6 3 0.44
[series][INFO] [2020-10-12 16:36:33] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 6 4 0.44
[series][INFO] [2020-10-12 16:36:33] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 6 5 0.43
[series][INFO] [2020-10-12 16:36:33] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 6 6 0.43
[series][INFO] [2020-10-12 16:36:33] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 6 7 0.43
[series][INFO] [2020-10-12 16:36:33] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 6 8 0.42
[series][INFO] [2020-10-12 16:36:33] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 6 9 0.42
[series][INFO] [2020-10-12 16:36:33] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 6 10 0.38
[series][INFO] [2020-10-12 16:36:33] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 6 11 0.42
[series][INFO] [2020-10-12 16:36:34] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 6 12 0.42
[series][INFO] [2020-10-12 16:36:34] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 6 13 0.42
[series][INFO] [2020-10-12 16:36:34] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 6 14 0.47
[series][INFO] [2020-10-12 16:36:34] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 6 15 0.47
[series][INFO] [2020-10-12 16:36:34] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 6 16 0.43
[series][INFO] [2020-10-12 16:36:34] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 7 3 0.46
[series][INFO] [2020-10-12 16:36:34] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 7 4 0.46
[series][INFO] [2020-10-12 16:36:34] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 7 5 0.45
[series][INFO] [2020-10-12 16:36:34] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 7 6 0.44
[series][INFO] [2020-10-12 16:36:34] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 7 7 0.45
[series][INFO] [2020-10-12 16:36:34] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 7 8 0.42
[series][INFO] [2020-10-12 16:36:34] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 7 9 0.43
[series][INFO] [2020-10-12 16:36:35] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 7 10 0.46
[series][INFO] [2020-10-12 16:36:35] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 7 11 0.48
[series][INFO] [2020-10-12 16:36:35] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 7 12 0.46
[series][INFO] [2020-10-12 16:36:35] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 7 13 0.45
[series][INFO] [2020-10-12 16:36:35] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 7 14 0.43
[series][INFO] [2020-10-12 16:36:35] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 7 15 0.47
[series][INFO] [2020-10-12 16:36:35] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 7 16 0.5
[series][INFO] [2020-10-12 16:36:35] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 8 3 0.45
[series][INFO] [2020-10-12 16:36:35] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 8 4 0.45
